demand_id,x,y,population,central
212,294566.7174,5625047.702800001,4.187071,0
213,288416.7174,5631847.702800001,3.499832,0
214,293716.7174,5628897.702800001,11.057346,0
215,288366.7174,5631847.702800001,3.476499,0
216,293866.7174,5628897.702800001,30.577921,0
217,293816.7174,5628897.702800001,46.649572,0
218,293966.7174,5628897.702800001,24.541242,0
219,293916.7174,5628897.702800001,32.565402,0
220,294066.7174,5628897.702800001,51.693571,0
221,294016.7174,5628897.702800001,27.805631,0
222,293366.7174,5628897.702800001,28.369846,0
223,293316.7174,5628897.702800001,2.50291,0
224,291466.7174,5636847.702800001,5.977288,0
225,293466.7174,5628897.702800001,6.9933,0
226,291416.7174,5636847.702800001,5.245505,0
227,293416.7174,5628897.702800001,15.01958,0
228,293566.7174,5628897.702800001,30.350963,0
229,293516.7174,5628897.702800001,23.788248,0
230,291266.7174,5624947.702800001,1.813549,0
231,293666.7174,5628897.702800001,33.163555,0
232,293616.7174,5628897.702800001,4.324943,0
233,291366.7174,5624947.702800001,15.645307,0
234,292966.7174,5628897.702800001,1.512351,0
235,291316.7174,5624947.702800001,5.894565,0
236,292916.7174,5628897.702800001,10.970381,0
237,293066.7174,5628897.702800001,4.291006,0
238,293016.7174,5628897.702800001,0.625727,0
239,293166.7174,5628897.702800001,1.775369,0
240,293116.7174,5628897.702800001,4.592203,0
241,293266.7174,5628897.702800001,7.485397,0
242,293216.7174,5628897.702800001,4.16586,0
243,292566.7174,5628897.702800001,2.371401,0
244,292516.7174,5628897.702800001,10.03285,0
245,292666.7174,5628897.702800001,2.591996,0
246,295166.7174,5631897.702800001,0.545125,0
247,295116.7174,5631897.702800001,10.588581,0
248,292766.7174,5628897.702800001,0.996922,0
249,295266.7174,5631897.702800001,4.303732,0
250,292716.7174,5628897.702800001,4.808556,0
251,295216.7174,5631897.702800001,0.328772,0
252,292866.7174,5628897.702800001,12.38304,0
253,292816.7174,5628897.702800001,4.288884,0
254,295316.7174,5631897.702800001,4.821283,0
255,292166.7174,5628897.702800001,3.671641,0
256,292266.7174,5628897.702800001,5.557308,0
257,292216.7174,5628897.702800001,4.41403,0
258,292366.7174,5628897.702800001,0.83996,0
259,292316.7174,5628897.702800001,8.995628,0
260,294516.7174,5624997.702800001,16.478903,0
261,292466.7174,5628897.702800001,2.415944,0
262,294466.7174,5624997.702800001,1.52932,0
263,292416.7174,5628897.702800001,1.141157,0
264,294616.7174,5624997.702800001,3.427714,0
265,294566.7174,5624997.702800001,5.724876,0
266,295066.7174,5631897.702800001,9.008354,0
267,295016.7174,5631897.702800001,0.504824,0
268,291866.7174,5628897.702800001,33.07871,0
269,292116.7174,5631847.702800001,5.179751,0
270,292216.7174,5631847.702800001,1.329936,0
271,292166.7174,5631847.702800001,16.973122,0
272,292316.7174,5631847.702800001,0.413616,0
273,291366.7174,5628897.702800001,24.320647,0
274,291316.7174,5628897.702800001,9.099562,0
275,292366.7174,5631847.702800001,0.40089,0
276,291466.7174,5628897.702800001,27.790783,0
277,291416.7174,5628897.702800001,13.579346,0
278,291566.7174,5628897.702800001,2.9038,0
279,291516.7174,5628897.702800001,21.037169,0
280,291916.7174,5631847.702800001,6.089707,0
281,291616.7174,5628897.702800001,7.076023,0
282,294816.7174,5628997.702800001,35.515866,1
283,294766.7174,5628997.702800001,79.166188,1
284,291966.7174,5631847.702800001,2.640782,0
285,294916.7174,5628997.702800001,76.665399,1
286,294866.7174,5628997.702800001,38.619049,1
287,295016.7174,5628997.702800001,45.035407,1
288,294966.7174,5628997.702800001,76.958112,1
289,295116.7174,5628997.702800001,45.32812,0
290,295066.7174,5628997.702800001,58.519303,1
291,294416.7174,5628997.702800001,30.007343,0
292,294366.7174,5628997.702800001,49.629731,0
293,294516.7174,5628997.702800001,53.617418,0
