stop_id,x,y
375,295977.9863269427,5625538.945136642
376,295620.01685077057,5625833.986418439
377,295659.0017778078,5625731.02672744
378,295715.97783543635,5626437.036922622
379,295727.01198530896,5626414.002308015
380,295529.995121112,5626850.947096195
381,295523.0199521978,5626836.968924536
382,296153.01009108115,5626102.054347371
383,296126.0330731076,5626103.999734088
384,295932.9831218536,5626241.040726541
385,295924.021374529,5626234.042949571
386,296461.96530258463,5625722.006164689
387,296458.0275232566,5625717.038199631
388,295633.9707011244,5626554.0416918835
389,295602.0045493314,5626570.99394561
390,296083.16190299415,5626129.391661934
391,295240.0306351825,5628153.0082108285
392,295434.9830414624,5627652.996615022
393,295308.03661104746,5627853.052420634
394,295213.01440940227,5627885.957114233
395,294847.25292280177,5628131.9359118575
396,294838.41195728653,5628156.668095775
397,295146.5288757811,5628053.802445431
398,295129.97953356337,5628107.006735626
399,295089.36962816643,5628142.674271083
400,294762.00119330606,5627787.011570896
401,294790.98672962375,5627821.945342692
402,295063.0162521483,5627986.0493227225
403,295058.9757490936,5628000.014710567
404,294812.1769480205,5628125.188856059
405,295050.0126654316,5627288.9991325475
406,295019.0036978419,5627225.973778805
407,295091.0096033621,5627077.952173496
408,295085.98779480415,5627057.996589734
409,294588.9881529919,5627423.054627172
410,295275.0167565114,5627442.048812714
411,295259.9721287017,5627441.971692721
412,295327.9690552028,5627439.969260113
413,295132.00350487535,5626660.031939102
414,295125.98436618864,5626656.037456399
415,295315.79317873856,5626865.476528323
416,295319.54570903257,5626860.318803518
417,295306.0235106243,5626335.983361382
418,295321.9865120156,5626273.005228669
419,295225.0222737048,5626303.979793511
420,295406.01389514335,5627630.974549088
421,294603.9691636003,5623280.960074794
422,294594.9696500219,5623274.967735588
423,294614.0241201814,5623118.004735697
424,294605.0360558647,5623062.0192591455
425,294739.02707674314,5624568.998015394
426,294733.9995670854,5624627.984594941
427,294652.02539433906,5624922.037255147
428,294591.99693679553,5624972.946017307
429,294559.96454283444,5625669.988521271
430,294563.0105666354,5625619.986934506
431,294548.0123975264,5625640.953491756
432,294506.0280404166,5626067.04703531
433,294520.9638154382,5625988.96374932
434,294458.9827029124,5625315.999748126
435,294461.993425959,5625335.032088297
436,294553.9856554836,5627360.968482462
437,294557.97467219085,5626696.983244131
438,294604.99158748216,5626561.964487249
439,294455.99322869733,5626431.997655973
440,294440.9762071017,5626412.9932686575
441,294426.9736013962,5626983.95697067
442,294420.99402656895,5626895.006752447
443,294362.97868494096,5626930.02982522
444,294391.01818096836,5626862.006493511
445,294752.03090740007,5626375.01930467
446,294452.0335459463,5626577.01126327
447,292712.98373528593,5625639.9666333785
448,292703.9908429257,5625595.006469997
449,293400.01695022313,5626536.976801762
450,293346.0101206579,5626559.047830047
451,293442.9929296349,5626223.954578124
452,293447.9931830545,5626178.996000204
453,293210.00843172474,5625990.011866622
454,293206.9668749908,5625997.03585918
455,293655.02886952966,5626990.96149352
456,293599.01002600003,5626880.053133822
457,293812.0209756814,5626729.994294829
458,293483.0076949394,5626223.037691053
459,293998.9797528452,5626966.00146417
460,294778.00189751235,5626387.024143137
461,294376.10511786584,5628161.305724481
462,294341.2242814172,5628143.419727758
463,294307.40221664216,5628170.252357144
464,294226.02916963515,5627590.0232617
465,294236.03293167206,5627559.0087890765
466,294233.15992979205,5627865.428962528
467,294189.5427063431,5627849.892955523
468,293948.5857355834,5628142.228448534
469,293930.18881090975,5628151.974792481
470,293943.9684922118,5627519.996848313
471,293953.0273893395,5627533.000022835
472,293848.0034493661,5627712.965532578
473,293740.97699817014,5627694.0403391225
474,293692.0070309817,5627447.012210741
475,294011.034594062,5627523.024472653
476,293723.0063597802,5627164.974731865
477,293722.01949926955,5627098.986573211
